"Year","replacecolumns","from","to"
1991,"label_cause","144","ncd_lri"
1992,"label_cause","144","ncd_lri"
1993,"label_cause","144","ncd_lri"
1994,"label_cause","144","ncd_lri"
1995,"label_cause","144","ncd_lri"
1996,"label_cause","144","ncd_lri"
1997,"label_cause","144","ncd_lri"
1998,"label_cause","144","ncd_lri"
1990,"label_cause","145","ncd_lri"
1991,"label_cause","145","ncd_lri"
1992,"label_cause","145","ncd_lri"
1993,"label_cause","145","ncd_lri"
1994,"label_cause","145","ncd_lri"
1995,"label_cause","145","ncd_lri"
1996,"label_cause","145","ncd_lri"
1997,"label_cause","145","ncd_lri"
1998,"label_cause","145","ncd_lri"
1990,"label_cause","146","ncd_lri"
1991,"label_cause","146","ncd_lri"
1992,"label_cause","146","ncd_lri"
1993,"label_cause","146","ncd_lri"
1994,"label_cause","146","ncd_lri"
1995,"label_cause","146","ncd_lri"
1996,"label_cause","146","ncd_lri"
1997,"label_cause","146","ncd_lri"
1998,"label_cause","146","ncd_lri"
1990,"label_cause","147","ncd_lri"
1991,"label_cause","147","ncd_lri"
1992,"label_cause","147","ncd_lri"
1993,"label_cause","147","ncd_lri"
1994,"label_cause","147","ncd_lri"
1995,"label_cause","147","ncd_lri"
1996,"label_cause","147","ncd_lri"
1997,"label_cause","147","ncd_lri"
1998,"label_cause","147","ncd_lri"
1990,"label_cause","148","ncd_lri"
1991,"label_cause","148","ncd_lri"
1992,"label_cause","148","ncd_lri"
1993,"label_cause","148","ncd_lri"
1994,"label_cause","148","ncd_lri"
1995,"label_cause","148","ncd_lri"
1996,"label_cause","148","ncd_lri"
1997,"label_cause","148","ncd_lri"
1998,"label_cause","148","ncd_lri"
1990,"label_cause","149","ncd_lri"
1991,"label_cause","149","ncd_lri"
1992,"label_cause","149","ncd_lri"
1993,"label_cause","149","ncd_lri"
1994,"label_cause","149","ncd_lri"
1995,"label_cause","149","ncd_lri"
1996,"label_cause","149","ncd_lri"
1997,"label_cause","149","ncd_lri"
1998,"label_cause","149","ncd_lri"
1990,"label_cause","150","ncd_lri"
1991,"label_cause","150","ncd_lri"
1992,"label_cause","150","ncd_lri"
1993,"label_cause","150","ncd_lri"
1994,"label_cause","150","ncd_lri"
1995,"label_cause","150","ncd_lri"
1996,"label_cause","150","ncd_lri"
1997,"label_cause","150","ncd_lri"
1998,"label_cause","150","ncd_lri"
1990,"label_cause","151","ncd_lri"
1991,"label_cause","151","ncd_lri"
1992,"label_cause","151","ncd_lri"
1993,"label_cause","151","ncd_lri"
1994,"label_cause","151","ncd_lri"
1995,"label_cause","151","ncd_lri"
1996,"label_cause","151","ncd_lri"
1997,"label_cause","151","ncd_lri"
1998,"label_cause","151","ncd_lri"
1990,"label_cause","152","ncd_lri"
1991,"label_cause","152","ncd_lri"
1992,"label_cause","152","ncd_lri"
