"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Ethnicity"	"Ethnicity Code"	"Race"	"Race Code"	Population
	"20 years"	"20"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2442173
	"20 years"	"20"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	839283
	"20 years"	"20"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2398751
	"21 years"	"21"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	626039
	"21 years"	"21"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2439732
	"21 years"	"21"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	673688
	"21 years"	"21"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2569067
	"21 years"	"21"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	680195
	"21 years"	"21"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2598578
	"21 years"	"21"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	695845
	"21 years"	"21"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2564992
	"21 years"	"21"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	695368
	"21 years"	"21"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2570203
	"21 years"	"21"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	688749
	"21 years"	"21"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2541468
	"21 years"	"21"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	706447
	"21 years"	"21"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2604432
	"21 years"	"21"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	715938
	"21 years"	"21"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2578289
	"21 years"	"21"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	728407
	"21 years"	"21"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2546021
	"21 years"	"21"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	749187
	"21 years"	"21"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2545375
	"21 years"	"21"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	765029
	"21 years"	"21"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2564954
	"21 years"	"21"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	813830
	"21 years"	"21"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2656372
	"21 years"	"21"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	830507
	"21 years"	"21"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2651826
	"21 years"	"21"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	848635
	"21 years"	"21"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2587952
	"21 years"	"21"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	844093
	"21 years"	"21"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2515679
	"21 years"	"21"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	849847
	"21 years"	"21"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2482734
	"21 years"	"21"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	850014
	"21 years"	"21"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2445902
	"22 years"	"22"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	632909
	"22 years"	"22"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2350591
	"22 years"	"22"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	648355
	"22 years"	"22"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2429678
	"22 years"	"22"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	694457
	"22 years"	"22"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2551537
	"22 years"	"22"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	698424
	"22 years"	"22"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2570200
	"22 years"	"22"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	713671
	"22 years"	"22"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2547304
	"22 years"	"22"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	713993
	"22 years"	"22"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2545849
	"22 years"	"22"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	707267
	"22 years"	"22"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2514264
	"22 years"	"22"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	723723
	"22 years"	"22"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2569517
	"22 years"	"22"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	732947
	"22 years"	"22"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2543607
	"22 years"	"22"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	743861
	"22 years"	"22"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2507004
	"22 years"	"22"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	763876
	"22 years"	"22"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2517754
	"22 years"	"22"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	773969
	"22 years"	"22"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2567001
	"22 years"	"22"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	821225
	"22 years"	"22"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2662636
	"22 years"	"22"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	837323
	"22 years"	"22"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2656644
	"22 years"	"22"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	856397
	"22 years"	"22"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2591825
	"22 years"	"22"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	852721
	"22 years"	"22"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2520585
	"22 years"	"22"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	858401
	"22 years"	"22"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2486684
	"23 years"	"23"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	639459
	"23 years"	"23"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2302576
	"23 years"	"23"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	654047
	"23 years"	"23"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2342079
	"23 years"	"23"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	668557
	"23 years"	"23"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2414963
	"23 years"	"23"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	712632
	"23 years"	"23"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2528060
	"23 years"	"23"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	716270
	"23 years"	"23"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2558145
	"23 years"	"23"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	732734
	"23 years"	"23"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2529489
	"23 years"	"23"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	733385
	"23 years"	"23"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2527641
	"23 years"	"23"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	725487
	"23 years"	"23"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2491761
	"23 years"	"23"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	742040
	"23 years"	"23"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2546553
	"23 years"	"23"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	750167
	"23 years"	"23"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2519104
	"23 years"	"23"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	757473
	"23 years"	"23"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2485970
	"23 years"	"23"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	771476
	"23 years"	"23"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2520452
	"23 years"	"23"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	780143
	"23 years"	"23"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2573016
	"23 years"	"23"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	827011
	"23 years"	"23"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2667435
	"23 years"	"23"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	844367
	"23 years"	"23"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2661302
	"23 years"	"23"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	863930
	"23 years"	"23"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2596669
	"23 years"	"23"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	860166
	"23 years"	"23"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2525016
	"24 years"	"24"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	642740
	"24 years"	"24"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2221378
	"24 years"	"24"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	659386
	"24 years"	"24"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2294458
	"24 years"	"24"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	673512
	"24 years"	"24"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2330325
	"24 years"	"24"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	686662
	"24 years"	"24"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2395281
	"24 years"	"24"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	730363
	"24 years"	"24"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2518394
	"24 years"	"24"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	735425
	"24 years"	"24"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2543860
	"24 years"	"24"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	752879
	"24 years"	"24"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2515956
	"24 years"	"24"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	752547
	"24 years"	"24"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2511332
	"24 years"	"24"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	744724
	"24 years"	"24"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2475563
	"24 years"	"24"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	760437
	"24 years"	"24"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2528949
	"24 years"	"24"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	766441
	"24 years"	"24"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2508184
	"24 years"	"24"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	763913
	"24 years"	"24"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2489655
	"24 years"	"24"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	776868
	"24 years"	"24"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2527078
	"24 years"	"24"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	785381
	"24 years"	"24"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2578408
	"24 years"	"24"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	833444
	"24 years"	"24"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2672868
	"24 years"	"24"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	851304
	"24 years"	"24"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2666930
	"24 years"	"24"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	870777
	"24 years"	"24"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2601706
	"25 years"	"25"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	651761
	"25 years"	"25"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2307391
	"25 years"	"25"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	661143
	"25 years"	"25"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2217636
	"25 years"	"25"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	677516
	"25 years"	"25"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2289512
	"25 years"	"25"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	690152
	"25 years"	"25"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2322361
	"25 years"	"25"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	703400
	"25 years"	"25"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2397899
	"25 years"	"25"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	748451
	"25 years"	"25"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2520146
	"25 years"	"25"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	754678
	"25 years"	"25"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2550213
	"25 years"	"25"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	770991
	"25 years"	"25"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2522361
	"25 years"	"25"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	770811
	"25 years"	"25"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2520779
	"25 years"	"25"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	762202
	"25 years"	"25"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2486823
	"25 years"	"25"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	775506
	"25 years"	"25"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2537359
	"25 years"	"25"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	771934
	"25 years"	"25"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2511554
	"25 years"	"25"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	768518
	"25 years"	"25"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2496584
	"25 years"	"25"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	781463
	"25 years"	"25"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2532180
	"25 years"	"25"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	791125
	"25 years"	"25"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2583727
	"25 years"	"25"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	839751
	"25 years"	"25"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2678300
	"25 years"	"25"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	857701
	"25 years"	"25"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2671857
	"26 years"	"26"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	630094
	"26 years"	"26"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2243176
	"26 years"	"26"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	665492
	"26 years"	"26"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2299989
	"26 years"	"26"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	672184
	"26 years"	"26"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2205662
	"26 years"	"26"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	684045
	"26 years"	"26"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2269698
	"26 years"	"26"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	694667
	"26 years"	"26"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2307325
	"26 years"	"26"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	706578
	"26 years"	"26"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2376321
	"26 years"	"26"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	749403
	"26 years"	"26"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2496884
	"26 years"	"26"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	752070
	"26 years"	"26"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2522179
	"26 years"	"26"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	765744
	"26 years"	"26"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2492190
	"26 years"	"26"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	762455
	"26 years"	"26"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2487448
	"26 years"	"26"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	754859
	"26 years"	"26"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2456236
	"26 years"	"26"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	780547
	"26 years"	"26"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2540001
	"26 years"	"26"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	776059
	"26 years"	"26"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2517823
	"26 years"	"26"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	772320
	"26 years"	"26"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2501491
	"26 years"	"26"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	786646
	"26 years"	"26"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2537090
	"26 years"	"26"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	796821
	"26 years"	"26"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2588773
	"26 years"	"26"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	845292
	"26 years"	"26"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2682607
	"27 years"	"27"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	633440
	"27 years"	"27"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2312667
	"27 years"	"27"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	643503
	"27 years"	"27"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2239621
	"27 years"	"27"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	678379
	"27 years"	"27"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2296089
	"27 years"	"27"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	683050
	"27 years"	"27"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2200588
	"27 years"	"27"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	695043
	"27 years"	"27"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2272820
	"27 years"	"27"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	706846
	"27 years"	"27"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2310289
	"27 years"	"27"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	719323
	"27 years"	"27"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2383068
	"27 years"	"27"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	761105
	"27 years"	"27"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2505016
	"27 years"	"27"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	763751
	"27 years"	"27"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2533534
	"27 years"	"27"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	776890
	"27 years"	"27"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2505290
	"27 years"	"27"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	771746
	"27 years"	"27"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2499252
	"27 years"	"27"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	759600
	"27 years"	"27"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2458524
	"27 years"	"27"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	784398
	"27 years"	"27"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2545243
	"27 years"	"27"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	779763
	"27 years"	"27"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2522405
	"27 years"	"27"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	777385
	"27 years"	"27"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2506200
	"27 years"	"27"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	792303
	"27 years"	"27"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2541774
	"27 years"	"27"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	802240
	"27 years"	"27"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2592632
	"28 years"	"28"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	632291
	"28 years"	"28"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2488801
	"28 years"	"28"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	644651
	"28 years"	"28"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2307810
	"28 years"	"28"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	653421
	"28 years"	"28"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2232521
	"28 years"	"28"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	685410
	"28 years"	"28"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2285058
	"28 years"	"28"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	689366
