"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Ethnicity"	"Ethnicity Code"	"Race"	"Race Code"	Population
	"1 year"	"1"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2183097
	"1 year"	"1"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	888180
	"1 year"	"1"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2168941
	"1 year"	"1"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	923705
	"1 year"	"1"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2185340
	"1 year"	"1"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	917976
	"1 year"	"1"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2156286
	"1 year"	"1"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	883567
	"1 year"	"1"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2095379
	"1 year"	"1"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	901375
	"1 year"	"1"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2084454
	"1 year"	"1"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	918830
	"1 year"	"1"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2082776
	"1 year"	"1"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	890530
	"1 year"	"1"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2068052
	"1 year"	"1"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	886714
	"1 year"	"1"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2063701
	"1 year"	"1"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	892236
	"1 year"	"1"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2074902
	"1 year"	"1"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	904457
	"1 year"	"1"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2068706
	"2 years"	"2"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	675247
	"2 years"	"2"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2282935
	"2 years"	"2"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	688302
	"2 years"	"2"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2272179
	"2 years"	"2"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	736371
	"2 years"	"2"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2261710
	"2 years"	"2"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	803347
	"2 years"	"2"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2297798
	"2 years"	"2"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	816754
	"2 years"	"2"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2233596
	"2 years"	"2"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	831491
	"2 years"	"2"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2231077
	"2 years"	"2"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	846948
